ID,SMILES,mw,Group,SA,_nn_tanimoto,scaffold
EN300-1548906,C[C@H](CC(=O)N(C)Cc1ccc(C(=O)O)cc1)NC(=O)OCC1c2ccccc2-c2ccccc21,472.53,Comprehensive,2.804501049792604,1.0,O=C(CCNC(=O)OCC1c2ccccc2-c2ccccc21)NCc1ccccc1
EN300-1575323,O=C(NCC1CC(CC(=O)N2CCC[C@@H](C(=O)O)C2)C1)OCC1c2ccccc2-c2ccccc21,476.57,Comprehensive,3.019233441400996,1.0,O=C(NCC1CC(CC(=O)N2CCCCC2)C1)OCC1c2ccccc2-c2ccccc21
EN300-1502328,CC(C(=O)O)C1CN(C(=O)CNC(=O)OCC2c3ccccc3-c3ccccc32)C1,408.45,Comprehensive,2.9291869937674395,0.8148148148148148,O=C(NCC(=O)N1CCC1)OCC1c2ccccc2-c2ccccc21
EN300-1569333,CCN(CCCC(=O)O)C(=O)[C@H]1C[C@H](NC(=O)OCC2c3ccccc3-c3ccccc32)C1,450.53,Comprehensive,2.537827149616483,1.0,O=C(NC1CCC1)OCC1c2ccccc2-c2ccccc21
EN300-1716546,O=C(O)CCCc1ccc(CNC(=O)OCC2c3ccccc3-c3ccccc32)cc1,415.48,Comprehensive,2.1251144728331663,0.8666666666666667,O=C(NCc1ccccc1)OCC1c2ccccc2-c2ccccc21
EN300-45688333,CC(OC1CCN(C(=O)OCc2ccccc2)CC1)C(=O)O,307.34,Comprehensive,2.478617246964676,0.7727272727272727,O=C(OCc1ccccc1)N1CCCCC1
EN300-1574246,CC[C@@H](CC(=O)N1CCC(OCC(=O)O)CC1)NC(=O)OCC1c2ccccc2-c2ccccc21,480.55,Comprehensive,3.019917441400996,1.0,O=C(NCCC(=O)N1CCCCC1)OCC1c2ccccc2-c2ccccc21
EN300-1568565,O=C(NCC#CC(=O)N1C[C@@H]2[C@H](C1)[C@H]2C(=O)O)OCC1c2ccccc2-c2ccccc21,430.45,Comprehensive,3.848164038080808,1.0,O=C(NCC#CC(=O)N1C[C@H]2C[C@H]2C1)OCC1c2ccccc2-c2ccccc21
EN300-27106093,O=C(NCCn1cnc(C(=O)O)n1)OCC1c2ccccc2-c2ccccc21,378.38,Comprehensive,2.53307079252591,0.6909090909090909,O=C(NCCn1cncn1)OCC1c2ccccc2-c2ccccc21
EN300-1495055,CN(CC(=O)O)C(=O)c1ccc(CCNC(=O)OCC2c3ccccc3-c3ccccc32)cc1,458.51,Comprehensive,2.289184105904381,0.8363636363636363,O=C(NCCc1ccccc1)OCC1c2ccccc2-c2ccccc21
EN300-1494140,CCN(CC(=O)O)C(=O)CN1CCC(NC(=O)OCC2c3ccccc3-c3ccccc32)CC1,465.54,Comprehensive,2.4508143993223026,0.864406779661017,O=C(NC1CCNCC1)OCC1c2ccccc2-c2ccccc21
EN300-1485287,Cc1c(NC(=O)OCC2c3ccccc3-c3ccccc32)cccc1C(=O)N(C)CCCC(=O)O,472.53,Comprehensive,2.3710287481040115,0.8166666666666667,O=C(Nc1ccccc1)OCC1c2ccccc2-c2ccccc21
EN300-26572438,Cc1c(OCCNC(=O)OCC2c3ccccc3-c3ccccc32)cccc1C(=O)O,417.45,Comprehensive,2.240849598157281,0.82,O=C(NCCOc1ccccc1)OCC1c2ccccc2-c2ccccc21
EN300-37102164,O=C(O)C#C[C@@H]1[C@H]2CN(C(=O)OCc3ccccc3)C[C@@H]12,285.3,Comprehensive,3.653531300732425,0.7619047619047619,O=C(OCc1ccccc1)N1C[C@H]2C[C@H]2C1
EN300-1580999,CC(C)C(CC(=O)N1CC(CCCC(=O)O)C1)NC(=O)OCC1c2ccccc2-c2ccccc21,478.58,Comprehensive,3.064646961024227,1.0,O=C(NCCC(=O)N1CCC1)OCC1c2ccccc2-c2ccccc21
EN300-1484472,CCN(CC(C)C(=O)O)C(=O)c1ccc(NC(=O)OCC2c3ccccc3-c3ccccc32)cn1,473.52,Comprehensive,2.9599080427995954,0.8032786885245902,O=C(Nc1cccnc1)OCC1c2ccccc2-c2ccccc21
EN300-27725486,CN(CCOc1ccc(C(=O)O)nc1)C(=O)OCc1ccccc1,330.34,Comprehensive,2.102098188605403,0.7021276595744681,O=C(NCCOc1cccnc1)OCc1ccccc1
EN300-1532865,CC(C)N(CCCC(=O)O)C(=O)[C@H]1C[C@H](NC(=O)OCC2c3ccccc3-c3ccccc32)C1,464.55,Comprehensive,2.599409594447309,1.0,O=C(NC1CCC1)OCC1c2ccccc2-c2ccccc21
EN300-372330,O=C(O)Cc1csc(CNC(=O)OCc2ccccc2)n1,306.34,Comprehensive,2.0395566973552484,0.8,O=C(NCc1nccs1)OCc1ccccc1
EN300-35498441,O=C(NCc1ccc(C(=O)O)cc1Cl)OCC1c2ccccc2-c2ccccc21,407.09,Comprehensive,2.149956858499909,0.803921568627451,O=C(NCc1ccccc1)OCC1c2ccccc2-c2ccccc21
EN300-1580940,CC(C)[C@@H](CC(=O)N1CC(CCCC(=O)O)C1)NC(=O)OCC1c2ccccc2-c2ccccc21,478.58,Comprehensive,3.064646961024227,1.0,O=C(NCCC(=O)N1CCC1)OCC1c2ccccc2-c2ccccc21
EN300-1498535,CC1(OCC(=O)O)CN(C(=O)CCOCCNC(=O)OCC2c3ccccc3-c3ccccc32)C1,482.53,Comprehensive,2.837319657194924,0.8666666666666667,O=C(NCCOCCC(=O)N1CCC1)OCC1c2ccccc2-c2ccccc21
EN300-6474829,CN(CCc1ccc(NC(=O)OCC2c3ccccc3-c3ccccc32)cc1)C(=O)CC(C)(C)CC(=O)O,514.61,Comprehensive,2.580137548482797,0.7213114754098361,O=C(Nc1ccccc1)OCC1c2ccccc2-c2ccccc21
EN300-1532526,O=C(O)CCC1CCCCN1C(=O)[C@H]1C[C@@H](NC(=O)OCC2c3ccccc3-c3ccccc32)C1,476.57,Comprehensive,3.0171939029394554,1.0,O=C(N[C@H]1C[C@@H](C(=O)N2CCCCC2)C1)OCC1c2ccccc2-c2ccccc21
EN300-1529081,CN(CCC(=O)O)C(=O)CC(CNC(=O)OCC1c2ccccc2-c2ccccc21)C1CC1,450.53,Comprehensive,3.1191138433646257,0.9122807017543859,O=C(NCCC1CC1)OCC1c2ccccc2-c2ccccc21
EN300-1428708,O=C(NC1CCC2(CC1)CC(C(=O)O)C2)OCC1c2ccccc2-c2ccccc21,405.49,Comprehensive,3.0067091251244547,0.8367346938775511,O=C(NC1CCC2(CCC2)CC1)OCC1c2ccccc2-c2ccccc21
