ID,SMILES,mw,Group,SA
EN300-46893999,O[C@H]1C[C@@H](CCBr)C1,179.05,Comprehensive,2.8852929456995344
EN300-83766,OCC#CCBr,148.99,Comprehensive,3.630307471363084
EN300-1913860,CC(C)(CO)CCCBr,195.1,Comprehensive,2.799571151038265
EN300-297733,OC1CC(Br)C1,151.0,Comprehensive,3.1755028559784684
EN300-2969983,OCc1nc(CCl)cs1,163.63,Comprehensive,2.667733853379403
EN300-85129,OCCCCCCBr,181.07,Comprehensive,2.1302579806645703
EN300-26571096,O[C@H]1C[C@H](CBr)C1,165.03,Comprehensive,2.9474082019086936
EN300-7708571,OCCc1ccccc1CCl,170.64,Comprehensive,1.9675249020540535
EN300-1600517,OCC(F)CBr,156.98,Comprehensive,3.989227465359366
EN300-85127,OCCCCCCCBr,195.1,Comprehensive,2.0705990841486344
EN300-254266,O[C@H]1C[C@H](Cl)C1,106.55,Comprehensive,2.9718167021323154
EN300-255192,OC1CC(Cl)C1,106.55,Comprehensive,2.9718167021323154
EN300-179511,OCCCCCCCCCCCBr,251.2,Comprehensive,1.9713208310899064
EN300-225741,CC(CBr)CCO,167.04,Comprehensive,3.1446958882126683
EN300-7436747,O[C@H]1CC[C@H](CI)CC1,240.08,Comprehensive,2.7727984687640195
EN300-7087654,OCCSCCCl,140.63,Comprehensive,2.937038161422864
EN300-649268,OCc1cnc(CCCl)o1,161.59,Comprehensive,2.9162517842579305
EN300-7353728,OCCCOCCOCCCl,182.65,Comprehensive,2.3391199392748963
EN300-133572,OCCCCCCCCCCBr,237.18,Comprehensive,1.9823678057517284
EN300-256310,O[C@H]1C[C@@H](CBr)C1,165.03,Comprehensive,2.9474082019086936
EN300-1706889,OCCOCCOCCOCCBr,257.12,Comprehensive,2.4908622032312806
EN300-87131,OCCCCCCCCCCCCBr,265.23,Comprehensive,1.9148589126626376
EN300-6740901,OCCCCCCCCCBr,223.15,Comprehensive,2.0009030658257654
EN300-4208481,O=CCN1CCN(CCO)CC1,172.23,Comprehensive,2.2344370365209603
EN300-726167,O=Cc1ccc(N2CCC[C@@H]2CO)cn1,206.24,Comprehensive,3.0239760823887494
EN300-726017,C[C@@H](O)C1CN(c2ccc(C=O)cc2)C1,205.25,Comprehensive,2.715883844507516
EN300-1619666,CC(C)(C=O)CC1CCC(O)CC1,184.28,Comprehensive,2.8534823873714625
EN300-26690978,O=CCn1cc(CO)nn1,141.13,Comprehensive,2.9762254106315567
